Step 0 | Sign: False | Motion: False
Step 11 | Sign: False | Motion: False
Step 12 | Sign: False | Motion: False
Step 13 | Sign: False | Motion: False
Step 14 | Sign: False | Motion: False
Step 15 | Sign: True | Motion: True
Step 16 | Sign: False | Motion: False
Step 17 | Sign: False | Motion: False
Step 18 | Sign: False | Motion: False
Step 19 | Sign: False | Motion: True
Step 0 | Sign: False | Motion: False
Step 1 | Sign: False | Motion: True
Step 2 | Sign: False | Motion: True
Step 3 | Sign: True | Motion: False
Step 4 | Sign: False | Motion: True
Step 5 | Sign: False | Motion: True
Step 6 | Sign: False | Motion: True
Step 7 | Sign: False | Motion: False
Step 8 | Sign: False | Motion: True
Step 9 | Sign: True | Motion: True
Step 10 | Sign: False | Motion: False
Step 11 | Sign: False | Motion: True
Step 12 | Sign: True | Motion: True
Step 13 | Sign: False | Motion: False
Step 14 | Sign: False | Motion: False
Step 15 | Sign: False | Motion: True
Step 16 | Sign: False | Motion: False
Step 17 | Sign: False | Motion: True
Step 18 | Sign: False | Motion: True
Step 19 | Sign: False | Motion: False
Step 0 | Sign: False | Motion: False
Step 1 | Sign: False | Motion: False
Step 2 | Sign: False | Motion: False
Step 3 | Sign: False | Motion: True
Step 4 | Sign: False | Motion: False
Step 5 | Sign: False | Motion: True
Step 6 | Sign: False | Motion: False
Step 7 | Sign: False | Motion: False
Step 8 | Sign: False | Motion: True
Step 9 | Sign: False | Motion: False
Step 10 | Sign: True | Motion: False
Step 11 | Sign: True | Motion: True
Step 12 | Sign: True | Motion: False
Step 13 | Sign: False | Motion: True
Step 14 | Sign: False | Motion: False
Step 15 | Sign: False | Motion: True
Step 16 | Sign: False | Motion: True
Step 17 | Sign: False | Motion: False
Step 18 | Sign: False | Motion: True
Step 19 | Sign: False | Motion: False
Step 0 | Sign: False | Motion: False
Step 1 | Sign: False | Motion: False
Step 2 | Sign: False | Motion: True
Step 3 | Sign: False | Motion: True
Step 4 | Sign: False | Motion: True
Step 5 | Sign: False | Motion: False
Step 6 | Sign: True | Motion: True
Step 7 | Sign: False | Motion: True
Step 8 | Sign: False | Motion: True
Step 9 | Sign: True | Motion: False
Step 10 | Sign: True | Motion: False
Step 11 | Sign: False | Motion: False
Step 12 | Sign: False | Motion: True
Step 13 | Sign: False | Motion: False
Step 14 | Sign: True | Motion: False
Step 15 | Sign: False | Motion: False
Step 16 | Sign: False | Motion: True
Step 17 | Sign: False | Motion: True
Step 18 | Sign: False | Motion: True
Step 19 | Sign: True | Motion: True
Step 0 | Sign: True | Motion: False
Step 1 | Sign: False | Motion: True
Step 2 | Sign: False | Motion: True
Step 3 | Sign: True | Motion: True
Step 4 | Sign: True | Motion: True
Step 5 | Sign: False | Motion: True
Step 6 | Sign: False | Motion: True
Step 7 | Sign: False | Motion: False
Step 8 | Sign: True | Motion: True
Step 9 | Sign: False | Motion: True
Step 10 | Sign: False | Motion: False
Step 11 | Sign: False | Motion: False
Step 12 | Sign: False | Motion: True
Step 13 | Sign: False | Motion: True
Step 14 | Sign: True | Motion: False
Step 15 | Sign: False | Motion: False
Step 16 | Sign: False | Motion: False
Step 17 | Sign: False | Motion: True
Step 18 | Sign: False | Motion: True
Step 19 | Sign: True | Motion: True
Step 0 | Sign: False | Motion: True
Step 1 | Sign: False | Motion: False
Step 2 | Sign: False | Motion: True
Step 3 | Sign: True | Motion: False
Step 4 | Sign: True | Motion: True
Step 5 | Sign: False | Motion: False
Step 6 | Sign: True | Motion: True
Step 7 | Sign: False | Motion: False
Step 8 | Sign: False | Motion: True
Step 9 | Sign: False | Motion: False
Step 10 | Sign: True | Motion: False
Step 11 | Sign: True | Motion: False
Step 12 | Sign: False | Motion: True
Step 13 | Sign: False | Motion: True
Step 14 | Sign: True | Motion: False
Step 15 | Sign: False | Motion: True
Step 16 | Sign: False | Motion: True
Step 17 | Sign: True | Motion: False
Step 18 | Sign: False | Motion: False
Step 19 | Sign: False | Motion: False
Step 0 | Sign: False | Motion: True
Step 1 | Sign: True | Motion: False
Step 2 | Sign: False | Motion: False
Step 3 | Sign: True | Motion: False
Step 4 | Sign: False | Motion: True
Step 5 | Sign: False | Motion: False
Step 6 | Sign: False | Motion: True
Step 7 | Sign: False | Motion: False
Step 8 | Sign: True | Motion: True
Step 9 | Sign: False | Motion: True
Step 10 | Sign: False | Motion: False
Step 11 | Sign: False | Motion: True
Step 12 | Sign: False | Motion: True
Step 13 | Sign: False | Motion: False
Step 14 | Sign: False | Motion: True
Step 15 | Sign: True | Motion: False
Step 16 | Sign: True | Motion: True
Step 17 | Sign: False | Motion: False
Step 18 | Sign: False | Motion: True
Step 19 | Sign: False | Motion: False
Step 0 | Sign: False | Motion: True
Step 1 | Sign: True | Motion: False
Step 2 | Sign: False | Motion: False
Step 3 | Sign: True | Motion: True
Step 4 | Sign: True | Motion: False
Step 5 | Sign: False | Motion: False
Step 6 | Sign: False | Motion: False
Step 7 | Sign: True | Motion: True
Step 8 | Sign: False | Motion: False
Step 9 | Sign: False | Motion: False
Step 10 | Sign: False | Motion: True
Step 11 | Sign: True | Motion: True
Step 12 | Sign: False | Motion: True
Step 13 | Sign: False | Motion: False
Step 14 | Sign: True | Motion: True
Step 15 | Sign: False | Motion: True
Step 16 | Sign: True | Motion: False
Step 17 | Sign: False | Motion: False
Step 18 | Sign: False | Motion: False
Step 19 | Sign: False | Motion: False
Step 0 | Sign: True | Motion: True
Step 1 | Sign: False | Motion: False
Step 2 | Sign: True | Motion: True
Step 3 | Sign: True | Motion: False
Step 4 | Sign: False | Motion: True
Step 5 | Sign: False | Motion: True
Step 6 | Sign: False | Motion: False
Step 7 | Sign: False | Motion: True
Step 8 | Sign: False | Motion: True
Step 9 | Sign: True | Motion: True
Step 10 | Sign: False | Motion: False
Step 11 | Sign: False | Motion: True
Step 12 | Sign: False | Motion: False
Step 13 | Sign: False | Motion: True
Step 14 | Sign: True | Motion: False
Step 15 | Sign: False | Motion: False
Step 16 | Sign: False | Motion: False
Step 17 | Sign: True | Motion: False
Step 18 | Sign: False | Motion: False
Step 19 | Sign: False | Motion: False
Step 0 | Sign: True | Motion: False
Step 1 | Sign: True | Motion: True
Step 2 | Sign: False | Motion: False
Step 3 | Sign: False | Motion: False
Step 4 | Sign: False | Motion: True
Step 5 | Sign: True | Motion: True
Step 6 | Sign: True | Motion: True
Step 7 | Sign: True | Motion: True
Step 8 | Sign: False | Motion: True
Step 9 | Sign: True | Motion: False
Step 10 | Sign: False | Motion: True
Step 11 | Sign: False | Motion: True
Step 12 | Sign: False | Motion: True
Step 13 | Sign: True | Motion: True
Step 14 | Sign: False | Motion: False
Step 15 | Sign: False | Motion: True
Step 16 | Sign: False | Motion: True
Step 17 | Sign: False | Motion: True
Step 18 | Sign: False | Motion: False
Step 19 | Sign: True | Motion: False
Step 0 | Sign: True | Motion: True
Step 1 | Sign: False | Motion: False
Step 2 | Sign: False | Motion: False
Step 3 | Sign: False | Motion: True
Step 4 | Sign: False | Motion: True
Step 5 | Sign: False | Motion: False
Step 6 | Sign: False | Motion: True
Step 7 | Sign: True | Motion: True
Step 8 | Sign: False | Motion: False
Step 9 | Sign: True | Motion: True
Step 10 | Sign: True | Motion: True
Step 11 | Sign: False | Motion: True
Step 12 | Sign: True | Motion: False
Step 13 | Sign: False | Motion: True
Step 14 | Sign: False | Motion: False
Step 15 | Sign: False | Motion: False
Step 16 | Sign: True | Motion: True
Step 17 | Sign: False | Motion: False
Step 18 | Sign: True | Motion: True
Step 19 | Sign: False | Motion: False
Step 0 | Sign: True | Motion: True
Step 1 | Sign: True | Motion: True
Step 2 | Sign: True | Motion: True
Step 3 | Sign: False | Motion: False
Step 4 | Sign: False | Motion: False
Step 5 | Sign: False | Motion: False
Step 6 | Sign: False | Motion: False
Step 0 | Sign: True | Motion: True
Step 1 | Sign: False | Motion: True
Step 2 | Sign: True | Motion: True
Step 3 | Sign: False | Motion: False
Step 4 | Sign: False | Motion: False
Step 5 | Sign: False | Motion: True
Step 6 | Sign: False | Motion: False
Step 7 | Sign: False | Motion: True
Step 8 | Sign: True | Motion: False
Step 9 | Sign: False | Motion: False
Step 10 | Sign: True | Motion: True
Step 11 | Sign: False | Motion: True
Step 12 | Sign: False | Motion: True
Step 13 | Sign: False | Motion: True
Step 14 | Sign: True | Motion: True
Step 15 | Sign: False | Motion: True
Step 16 | Sign: False | Motion: False
Step 17 | Sign: False | Motion: False
Step 18 | Sign: False | Motion: True
Step 19 | Sign: False | Motion: False
Step 0 | Sign: False | Motion: False
Step 1 | Sign: False | Motion: False
Step 2 | Sign: False | Motion: True
Step 3 | Sign: True | Motion: False
Step 4 | Sign: False | Motion: False
Step 5 | Sign: False | Motion: True
Step 6 | Sign: True | Motion: True
Step 7 | Sign: False | Motion: False
Step 8 | Sign: True | Motion: False
Step 9 | Sign: False | Motion: False
Step 10 | Sign: True | Motion: True
Step 11 | Sign: True | Motion: False
Step 12 | Sign: True | Motion: False
Step 13 | Sign: True | Motion: True
Step 14 | Sign: False | Motion: False
Step 15 | Sign: True | Motion: False
Step 16 | Sign: True | Motion: False
Step 17 | Sign: True | Motion: False
Step 18 | Sign: False | Motion: True
Step 19 | Sign: False | Motion: False
Step 0 | Sign: True | Motion: True
Step 1 | Sign: False | Motion: True
Step 2 | Sign: False | Motion: True
Step 3 | Sign: True | Motion: True
Step 4 | Sign: False | Motion: True
Step 5 | Sign: False | Motion: False
Step 6 | Sign: False | Motion: False
Step 7 | Sign: False | Motion: True
Step 8 | Sign: False | Motion: False
Step 9 | Sign: False | Motion: True
Step 10 | Sign: False | Motion: False
Step 11 | Sign: False | Motion: True
Step 12 | Sign: True | Motion: True
Step 13 | Sign: False | Motion: True
Step 14 | Sign: False | Motion: True
Step 15 | Sign: False | Motion: True
Step 16 | Sign: False | Motion: True
Step 17 | Sign: True | Motion: False
Step 18 | Sign: False | Motion: False
Step 19 | Sign: True | Motion: True
Step 0 | Sign: False | Motion: False
Step 1 | Sign: False | Motion: True
Step 2 | Sign: True | Motion: False
Step 3 | Sign: True | Motion: False
Step 4 | Sign: False | Motion: True
Step 5 | Sign: False | Motion: True
Step 6 | Sign: True | Motion: True
Step 7 | Sign: False | Motion: True
Step 8 | Sign: False | Motion: True
Step 9 | Sign: True | Motion: True
Step 10 | Sign: False | Motion: False
Step 11 | Sign: False | Motion: True
Step 12 | Sign: False | Motion: False
Step 13 | Sign: False | Motion: True
Step 14 | Sign: True | Motion: True
Step 15 | Sign: False | Motion: False
Step 16 | Sign: False | Motion: True
Step 17 | Sign: True | Motion: True
Step 18 | Sign: True | Motion: True
Step 19 | Sign: False | Motion: True
Step 0 | Sign: True | Motion: True
Step 1 | Sign: False | Motion: True
Step 2 | Sign: False | Motion: True
Step 3 | Sign: True | Motion: True
Step 4 | Sign: False | Motion: False
Step 5 | Sign: False | Motion: True
Step 6 | Sign: False | Motion: True
Step 7 | Sign: True | Motion: False
Step 8 | Sign: True | Motion: False
Step 9 | Sign: False | Motion: True
Step 10 | Sign: False | Motion: False
Step 11 | Sign: True | Motion: False
Step 12 | Sign: False | Motion: True
Step 13 | Sign: True | Motion: True
Step 14 | Sign: True | Motion: False
Step 15 | Sign: False | Motion: False
Step 16 | Sign: True | Motion: False
Step 17 | Sign: True | Motion: True
Step 18 | Sign: True | Motion: False
Step 19 | Sign: False | Motion: True
